"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD"
"ACCOUNTING_ENTRY";"Position de compte";"D";"Emploi ou débit"
"ACCOUNTING_ENTRY";"Position de compte";"C";"Ressource ou crédit"
"ACCOUNTING_ENTRY";"Position de compte";"_Z";"Non applicable"
"ACCOUNTING_ENTRY";"Position de compte";"B";"Solde"
"ACTIVITY";"Activité économique";"_T";"Total"
"CONF_STATUS";"Statut de confidentialité";"F";"Diffusable"
"CONSOLIDATION";"Consolidation";"N";"Non consolidé"
"CONSOLIDATION";"Consolidation";"C";"Consolidé"
"CONSOLIDATION";"Consolidation";"P";"Partiellement consolidé ou agrégat contenant à la fois des valeurs consolidées et non consolidées"
"CONSOLIDATION";"Consolidation";"FC_INTRA_INTER";"FC_INTRA_INTER"
"CONSOLIDATION";"Consolidation";"CC";"Données consolidées intra et inter"
"CONSOLIDATION";"Consolidation";"FC_INTRA";"FC_INTRA"
"CONSOLIDATION";"Consolidation";"CI";"Consolidant"
"COUNTERPART_AREA";"Zone de contrepartie";"W0";"Monde"
"COUNTERPART_AREA";"Zone de contrepartie";"4Y";"Institutions de l’Union Européenne"
"COUNTERPART_SECTOR";"Secteur institutionnel de contrepartie";"S1";"Économie totale"
"COUNTERPART_SECTOR";"Secteur institutionnel de contrepartie";"S212";"Institutions de l’Union Européenne"
"COUNTERPART_SECTOR";"Secteur institutionnel de contrepartie";"S2";"Reste du monde"
"COUNTERPART_SECTOR";"Secteur institutionnel de contrepartie";"S1312";"Administration d’états fédérés (à l’exclusion de la sécurité sociale)"
"COUNTERPART_SECTOR";"Secteur institutionnel de contrepartie";"S1313";"Administrations locales (à l’exclusion de la sécurité sociale)"
"COUNTERPART_SECTOR";"Secteur institutionnel de contrepartie";"S1311";"Administration centrale (à l’exclusion de la sécurité sociale)"
"COUNTERPART_SECTOR";"Secteur institutionnel de contrepartie";"S1314";"Administrations de sécurité sociale"
"DECIMALS";"Décimales";"1";"Un"
"DECIMALS";"Décimales";"3";"Trois"
"DECIMALS";"Décimales";"0";"Zéro"
"EXPENDITURE";"Type de dépense de consommation";"_Z";"Total"
"EXPENDITURE";"Type de dépense de consommation";"GF1005";"    10.5 - Chômage"
"EXPENDITURE";"Type de dépense de consommation";"GF1003";"    10.3 - Survivants"
"EXPENDITURE";"Type de dépense de consommation";"GF1002";"    10.2 - Vieillesse"
"FREQ";"Fréquence";"A";"Annuel"
"INSTR_ASSET";"Classe d'actifs passifs";"_Z";"Total"
"INSTR_ASSET";"Classe d'actifs passifs";"F31_32";"Titres de créance à court et long terme"
"INSTR_ASSET";"Classe d'actifs passifs";"F32";"Titres de créance à long terme"
"INSTR_ASSET";"Classe d'actifs passifs";"F511X52";"Autres actifs liquides"
"INSTR_ASSET";"Classe d'actifs passifs";"GD";"Dette au sens de Maastricht"
"INSTR_ASSET";"Classe d'actifs passifs";"F2N";"Dépôts hors intérêts courus non échus"
"INSTR_ASSET";"Classe d'actifs passifs";"F41";"Crédits à court terme"
"INSTR_ASSET";"Classe d'actifs passifs";"DETNET";"Dette nette"
"INSTR_ASSET";"Classe d'actifs passifs";"F42";"Crédits à long terme"
"INSTR_ASSET";"Classe d'actifs passifs";"F31";"Titres de créance à court terme"
"MATURITY";"Maturité";"_Z";"Non applicable"
"MATURITY";"Maturité";"L";"Maturité à l’origine de long terme (Plus d’un an ou non précisé)"
"MATURITY";"Maturité";"S";"Maturité à l’origine courte (jusqu’à 1 an)"
"OBS_STATUS";"Statut de l'observation";"P";"Valeur provisoire"
"OBS_STATUS";"Statut de l'observation";"A";"Normale"
"OBS_STATUS";"Statut de l'observation";"M";"Valeur manquante : les données n’existent pas (sans objet : so)"
"OBS_STATUS";"Statut de l'observation";"L";"Valeur manquante : les données existent mais ne sont pas collectées (non disponible : nd)"
"OBS_STATUS_FR";"Version";"PROV";"Provisoire"
"OBS_STATUS_FR";"Version";"SD";"Semi-définitif"
"OBS_STATUS_FR";"Version";"D";"Définitif"
"PRICES";"Valorisation des prix";"V";"En valeur aux prix courants"
"PRICES";"Valorisation des prix";"U";"Au coût de remplacement"
"PRODUCT";"Produit";"_T";"Total"
"REF_SECTOR";"Secteur institutionnel";"S13";"Administrations publiques"
"REF_SECTOR";"Secteur institutionnel";"S1311";"Administration centrale (à l’exclusion de la sécurité sociale)"
"REF_SECTOR";"Secteur institutionnel";"S13111";"État"
"REF_SECTOR";"Secteur institutionnel";"S13112";"Organismes divers d’administration centrale"
"REF_SECTOR";"Secteur institutionnel";"S1313";"Administrations locales (à l’exclusion de la sécurité sociale)"
"REF_SECTOR";"Secteur institutionnel";"S1314";"Administrations de sécurité sociale"
"REF_SECTOR";"Secteur institutionnel";"S1312";"Administration d’états fédérés (à l’exclusion de la sécurité sociale)"
"REF_SECTOR";"Secteur institutionnel";"S13132";"Organismes divers d’administration locale"
"REF_SECTOR";"Secteur institutionnel";"S13141";"Régimes d’assurances sociales"
"REF_SECTOR";"Secteur institutionnel";"S13142";"Organismes dépendants des assurances sociales"
"REF_SECTOR";"Secteur institutionnel";"SZU";"Institutions de l’Union Européenne"
"REF_SECTOR";"Secteur institutionnel";"S13131";"Collectivités locales"
"REF_SECTOR";"Secteur institutionnel";"SZV";"Administrations publiques et institutions et organes de l’Union européenne"
"STO";"Opération comptable";"P3";"Dépense de consommation finale"
"STO";"Opération comptable";"P31";"Dépense de consommation individuelle"
"STO";"Opération comptable";"P32";"Dépense de consommation collective"
"STO";"Opération comptable";"P5L";"Acquisition nette d’actifs non financiers"
"STO";"Opération comptable";"P11";"Production marchande"
"STO";"Opération comptable";"P51G";"Formation brute de capital fixe"
"STO";"Opération comptable";"D2";"Impôts sur la production et les importations"
"STO";"Opération comptable";"D29";"Autres impôts sur la production"
"STO";"Opération comptable";"P12";"Production pour usage final propre"
"STO";"Opération comptable";"P5K";"Autres acquisitions moins cessions d’actifs non financiers"
"STO";"Opération comptable";"D41";"Intérêts"
"STO";"Opération comptable";"D3";"Subventions"
"STO";"Opération comptable";"P131";"Paiements au titre de la production non marchande"
"STO";"Opération comptable";"D41G";"Intérêts bruts de correction SIFIM"
"STO";"Opération comptable";"D1";"Rémunération des salariés"
"STO";"Opération comptable";"D5";"Impôts courants sur le revenu, le patrimoine, etc."
"STO";"Opération comptable";"D39";"Autres subventions sur la production"
"STO";"Opération comptable";"P2";"Consommation intermédiaire"
"STO";"Opération comptable";"D61";"Cotisations sociales nettes"
"STO";"Opération comptable";"D122";"Cotisations sociales imputées à la charge des employeurs"
"STO";"Opération comptable";"D73";"Transferts courants entre administrations publiques"
"STO";"Opération comptable";"D4";"Revenus de la propriété"
"STO";"Opération comptable";"D733";"Transferts de recettes fiscales"
"STO";"Opération comptable";"D91R";"Impôts en capital à recevoir"
"STO";"Opération comptable";"_OTR_PPIB";"Total des recettes des administrations publiquesen pourcentage du PIB"
"STO";"Opération comptable";"OTR";"Total des recettes des administrations publiques"
"STO";"Opération comptable";"D4N";"Autres revenus de la propriété (D42 + D43 + D44 + D45)"
"STO";"Opération comptable";"D612";"Cotisations sociales imputées à la charge des employeurs"
"STO";"Opération comptable";"D995R";"Transferts en capital pour admissions en non valeur à recevoir"
"STO";"Opération comptable";"P51G_CPEFP";"Capitalisation de la production pour emploi final propre"
"STO";"Opération comptable";"PTC";"Total des crédits d’impôts à payer"
"STO";"Opération comptable";"D62";"Prestations sociales autres que transferts sociaux en nature"
"STO";"Opération comptable";"OTE";"Total des dépenses des administrations publiques"
"STO";"Opération comptable";"_OTE_PPIB";"Total des dépenses des administrations publiques en pourcentage du PIB"
"STO";"Opération comptable";"B8G";"Épargne brute"
"STO";"Opération comptable";"PTR";"Crédits d’impôts enregistrées en recette"
"STO";"Opération comptable";"D7HAPU";"Autres transferts courants"
"STO";"Opération comptable";"B9";"Capacité (+) ou besoin (-) de financement"
"STO";"Opération comptable";"D632";"Transferts sociaux en nature – production marchande achetée"
"STO";"Opération comptable";"PROB";"Ensemble des prélèvements obligatoires"
"STO";"Opération comptable";"TEF";"Dépenses de fonctionnement"
"STO";"Opération comptable";"OPAT";"Prestations et autres transferts"
"STO";"Opération comptable";"TEHI";"Dépenses hors éléments imputés"
"STO";"Opération comptable";"TRAT";"Autres transferts"
"STO";"Opération comptable";"LE";"Clôture du bilan/positions/flux"
"STO";"Opération comptable";"TRHI";"Recettes hors éléments imputés"
"STO";"Opération comptable";"TRICS";"Impôts et cotisations sociales"
"STO";"Opération comptable";"_GD_PPIB";"Clôture du bilan/positions/flux, en pourcentage du PIB"
"STO";"Opération comptable";"TRP";"Recettes de production"
"STO";"Opération comptable";"P1";"Production"
"STO";"Opération comptable";"_MA_PPIB";"Déficit au sens de Maastricht en points de PIB"
"STO";"Opération comptable";"MA";"Déficit au sens de Maastricht"
"STO";"Opération comptable";"_DETNET_PPIB";"Dette nette en pourcentage du PIB"
"STO";"Opération comptable";"P5";"Formation brute de capital/Formation nette de capital"
"STO";"Opération comptable";"D11";"Salaires et traitements bruts"
"STO";"Opération comptable";"P13";"Production non marchande"
"STO";"Opération comptable";"D21";"Impôts sur les produits"
"STO";"Opération comptable";"B1G";"Valeur ajoutée brute"
"STO";"Opération comptable";"D211";"Taxes de type TVA"
"STO";"Opération comptable";"D12";"Cotisations sociales à la charge des employeurs"
"STO";"Opération comptable";"P51C";"Consommation de capital fixe"
"STO";"Opération comptable";"D212";"Impôts et droits sur les importations, à l’exclusion de la TVA"
"STO";"Opération comptable";"D214";"Impôts sur les produits, à l‘exclusion de la TVA et des impôts sur les importations"
"STO";"Opération comptable";"NP";"Acquisitions moins cessions d’actifs non produits"
"STO";"Opération comptable";"D31";"Subventions sur les produits"
"STO";"Opération comptable";"D45";"Loyers"
"STO";"Opération comptable";"D51";"Impôts sur le revenu"
"STO";"Opération comptable";"D59";"Autres impôts courants"
"STO";"Opération comptable";"D42";"Revenus distribués des sociétés"
"STO";"Opération comptable";"D613CE";"Cotisations sociales effectives obligatoires à la charge des salariés"
"STO";"Opération comptable";"D43";"Bénéfices réinvestis d’investissements directs étrangers"
"STO";"Opération comptable";"D44";"Revenus d’investissements"
"STO";"Opération comptable";"D613CS";"Cotisations sociales effectives à la charge des travailleurs indépendants"
"STO";"Opération comptable";"D7";"Autres transferts courants"
"STO";"Opération comptable";"D71";"Primes nettes d’assurance-dommages"
"STO";"Opération comptable";"D611";"Cotisations sociales effectives à la charge des employeurs"
"STO";"Opération comptable";"D74";"Coopération internationale courante"
"STO";"Opération comptable";"D72";"Indemnités d’assurance-dommages"
"STO";"Opération comptable";"D613";"Cotisations sociales effectives à la charge des ménages"
"STO";"Opération comptable";"D92P";"Aides à l’investissement à payer"
"STO";"Opération comptable";"D75";"Transferts courants divers"
"STO";"Opération comptable";"B1N";"Valeur ajoutée nette de CCF"
"STO";"Opération comptable";"B2N";"Excédent d’exploitation net de CCF"
"STO";"Opération comptable";"D76";"Ressources propres de l’UE fondées sur la TVA et le RNB"
"STO";"Opération comptable";"B5N";"Solde des revenus primaires net de CCF"
"STO";"Opération comptable";"B6N";"Revenu disponible net de CCF"
"STO";"Opération comptable";"B8N";"Épargne brute net de CCF"
"STO";"Opération comptable";"P12_GFSM_D1";"Production pour usage final propre, coût imputable à la rémunération des salariés (finalité GFSM)"
"STO";"Opération comptable";"D8";"Ajustement pour variation des droits à pension"
"STO";"Opération comptable";"D51O";"Impôts sur le revenu ou les bénéfices des sociétés, y compris les gains de détention (D51b + D51c2)"
"STO";"Opération comptable";"D51M";"Impôts sur le revenu des personnes physiques ou des ménages, y compris les gains de détention (D51a + D51c1)"
"STO";"Opération comptable";"D995";"Transferts en capital pour admissions en non valeur"
"STO";"Opération comptable";"D9";"Transferts en capital"
"STO";"Opération comptable";"D92";"Aides à l’investissement"
"STO";"Opération comptable";"D91";"Impôts en capital"
"STO";"Opération comptable";"P12_GFSM_P51C";"Production pour usage final propre, coût imputable à la consommation de capital fixe (finalité GFSM)"
"STO";"Opération comptable";"D6M";"Prestations sociales en espèces et en nature de produits marchands"
"STO";"Opération comptable";"D99";"Autres transferts en capital"
"STO";"Opération comptable";"P12_GFSM_P2";"Production pour usage final propre, coût imputable à la consommation intermédiaire (finalité GFSM)"
"STO";"Opération comptable";"TC";"Partie des crédits d’impôts qui excède les créances des contribuables"
"STO";"Opération comptable";"D9N";"Autres transferts en capital et aides à l’investissement à recevoir"
"STO";"Opération comptable";"P5M";"Variation stocks + Acquis, moins cessions objets valeur (OPP52+OPP53)"
"STO";"Opération comptable";"D31P";"Subventions sur les produits à payer"
"STO";"Opération comptable";"D39P";"Autres subventions sur la production à payer"
"STO";"Opération comptable";"P132";"Autre production non marchande"
"STO";"Opération comptable";"D3R";"Subventions à recevoir"
"STO";"Opération comptable";"P1O";"Production marchande, production pour emploi final propre et paiements au titre de la production non marchande"
"STO";"Opération comptable";"D3P";"Subventions à payer (signe positif, pour la déclaration dans la présentation des SFP)"
"STO";"Opération comptable";"D614";"Suppléments de cotisations sociales à la charge des ménages"
"STO";"Opération comptable";"D39R";"Autres subventions sur la production à recevoir"
"STO";"Opération comptable";"D61SC";"Rémunération du service des régimes d’assurance sociale"
"STO";"Opération comptable";"P1M";"Production marchande et production pour usage final propre"
"TIME_PERIOD";"Période temporelle";"2024";"2024"
"TIME_PERIOD";"Période temporelle";"2023";"2023"
"TIME_PERIOD";"Période temporelle";"2022";"2022"
"TIME_PERIOD";"Période temporelle";"2021";"2021"
"TIME_PERIOD";"Période temporelle";"2020";"2020"
"TIME_PERIOD";"Période temporelle";"2019";"2019"
"TIME_PERIOD";"Période temporelle";"2018";"2018"
"TIME_PERIOD";"Période temporelle";"2017";"2017"
"TIME_PERIOD";"Période temporelle";"2016";"2016"
"TIME_PERIOD";"Période temporelle";"2015";"2015"
"TIME_PERIOD";"Période temporelle";"2014";"2014"
"TIME_PERIOD";"Période temporelle";"2013";"2013"
"TIME_PERIOD";"Période temporelle";"2012";"2012"
"TIME_PERIOD";"Période temporelle";"2011";"2011"
"TIME_PERIOD";"Période temporelle";"2010";"2010"
"TIME_PERIOD";"Période temporelle";"2009";"2009"
"TIME_PERIOD";"Période temporelle";"2008";"2008"
"TIME_PERIOD";"Période temporelle";"2007";"2007"
"TIME_PERIOD";"Période temporelle";"2006";"2006"
"TIME_PERIOD";"Période temporelle";"2005";"2005"
"TIME_PERIOD";"Période temporelle";"2004";"2004"
"TIME_PERIOD";"Période temporelle";"2003";"2003"
"TIME_PERIOD";"Période temporelle";"2002";"2002"
"TIME_PERIOD";"Période temporelle";"2001";"2001"
"TIME_PERIOD";"Période temporelle";"2000";"2000"
"TIME_PERIOD";"Période temporelle";"1999";"1999"
"TIME_PERIOD";"Période temporelle";"1998";"1998"
"TIME_PERIOD";"Période temporelle";"1997";"1997"
"TIME_PERIOD";"Période temporelle";"1996";"1996"
"TIME_PERIOD";"Période temporelle";"1995";"1995"
"TIME_PERIOD";"Période temporelle";"1994";"1994"
"TIME_PERIOD";"Période temporelle";"1993";"1993"
"TIME_PERIOD";"Période temporelle";"1992";"1992"
"TIME_PERIOD";"Période temporelle";"1991";"1991"
"TIME_PERIOD";"Période temporelle";"1990";"1990"
"TIME_PERIOD";"Période temporelle";"1989";"1989"
"TIME_PERIOD";"Période temporelle";"1988";"1988"
"TIME_PERIOD";"Période temporelle";"1987";"1987"
"TIME_PERIOD";"Période temporelle";"1986";"1986"
"TIME_PERIOD";"Période temporelle";"1985";"1985"
"TIME_PERIOD";"Période temporelle";"1984";"1984"
"TIME_PERIOD";"Période temporelle";"1983";"1983"
"TIME_PERIOD";"Période temporelle";"1982";"1982"
"TIME_PERIOD";"Période temporelle";"1981";"1981"
"TIME_PERIOD";"Période temporelle";"1980";"1980"
"TIME_PERIOD";"Période temporelle";"1979";"1979"
"TIME_PERIOD";"Période temporelle";"1978";"1978"
"TIME_PERIOD";"Période temporelle";"1977";"1977"
"TIME_PERIOD";"Période temporelle";"1976";"1976"
"TIME_PERIOD";"Période temporelle";"1975";"1975"
"TIME_PERIOD";"Période temporelle";"1974";"1974"
"TIME_PERIOD";"Période temporelle";"1973";"1973"
"TIME_PERIOD";"Période temporelle";"1972";"1972"
"TIME_PERIOD";"Période temporelle";"1971";"1971"
"TIME_PERIOD";"Période temporelle";"1970";"1970"
"TIME_PERIOD";"Période temporelle";"1969";"1969"
"TIME_PERIOD";"Période temporelle";"1968";"1968"
"TIME_PERIOD";"Période temporelle";"1967";"1967"
"TIME_PERIOD";"Période temporelle";"1966";"1966"
"TIME_PERIOD";"Période temporelle";"1965";"1965"
"TIME_PERIOD";"Période temporelle";"1964";"1964"
"TIME_PERIOD";"Période temporelle";"1963";"1963"
"TIME_PERIOD";"Période temporelle";"1962";"1962"
"TIME_PERIOD";"Période temporelle";"1961";"1961"
"TIME_PERIOD";"Période temporelle";"1960";"1960"
"TIME_PERIOD";"Période temporelle";"1959";"1959"
"TIME_PERIOD";"Période temporelle";"1958";"1958"
"TIME_PERIOD";"Période temporelle";"1957";"1957"
"TIME_PERIOD";"Période temporelle";"1956";"1956"
"TIME_PERIOD";"Période temporelle";"1955";"1955"
"TIME_PERIOD";"Période temporelle";"1954";"1954"
"TIME_PERIOD";"Période temporelle";"1953";"1953"
"TIME_PERIOD";"Période temporelle";"1952";"1952"
"TIME_PERIOD";"Période temporelle";"1951";"1951"
"TIME_PERIOD";"Période temporelle";"1950";"1950"
"TIME_PERIOD";"Période temporelle";"1949";"1949"
"TRANSFORMATION";"Transformation chronologique";"N";"Aucune"
"TRANSFORMATION";"Transformation chronologique";"GY";"Croissance annuelle "
"TRANSFORMATION";"Transformation chronologique";"GY_IX";"Croissance annuelle de l’indice"
"UNIT_MEASURE";"Unité de mesure";"XDC";"Devise nationale (Euros)"
"UNIT_MEASURE";"Unité de mesure";"PT";"Pourcentage"
"UNIT_MEASURE";"Unité de mesure";"IX";"Indice"
"UNIT_MULT";"Quantité d'unités (en puissance de 10)";"6";"Millions"
"UNIT_MULT";"Quantité d'unités (en puissance de 10)";"0";"Unités"
"VALUATION";"Valuation";"S";"Evaluation standard"
"VALUATION";"Valuation";"R";"Valeur de rédemption"